Date,Away Team,Home Team,Away Score,Home Score,Away OR,Away DR,Away AT,Home OR,Home DR,Home AT,delta OR,delta DR,delta AT
2/1/25,18,80,82,88,96.8,107.6,65.9,107.2,111.9,68.3,10.4,4.3,2.4
2/1/25,212,83,60,71,104.3,106.7,68,107.9,107.7,64.6,3.6,1,-3.4
2/1/25,170,86,67,60,96.2,115.5,64.1,100.4,113.1,68.7,4.2,-2.4,4.6
2/1/25,5,89,79,95,93.3,113.5,71.7,95.8,112.7,68.3,2.5,-0.8,-3.4
2/1/25,289,91,56,82,101.4,117.7,67.7,108.7,107.2,64.9,7.3,-10.5,-2.8
2/1/25,154,103,70,77,119.1,97.7,68,107.1,102.7,69.3,-12,5,1.3
2/1/25,129,105,65,50,97.9,108.2,69,97.9,112.2,64.6,0,4,-4.4
2/1/25,333,106,57,75,104.2,101.7,68.4,108.4,100.2,71.6,4.2,-1.5,3.2
2/1/25,39,110,57,82,98.9,111.6,66.9,105.4,107.4,65.4,6.5,-4.2,-1.5
2/1/25,143,113,69,67,100.1,111.1,67,102.7,115.7,65.6,2.6,4.6,-1.4
2/1/25,305,114,82,81,122,96.8,64.8,123,86.7,60.8,1,-10.1,-4
2/1/25,108,116,80,79,101.4,110.1,64.8,108.2,119.1,68.6,6.8,9,3.8
2/1/25,117,118,71,87,108.9,115.6,65.6,103.8,109,65.1,-5.1,-6.6,-0.5
2/1/25,124,120,88,83,106.3,112.1,72.7,111.8,107.6,69,5.5,-4.5,-3.7
2/1/25,336,121,78,86,105.7,110.6,68.6,111.8,109.9,64.4,6.1,-0.7,-4.2
2/1/25,115,122,64,74,102.4,110.6,65.8,105.6,115.7,65.3,3.2,5.1,-0.5
2/1/25,135,127,80,61,111.8,102.3,66.7,121.8,91.4,69.1,10,-10.9,2.4
2/1/25,210,130,81,78,112.8,119,71.7,103.9,102.5,67.9,-8.9,-16.5,-3.8
2/1/25,144,131,61,72,110.2,98.5,64.8,110.1,107.9,64.7,-0.1,9.4,-0.1
2/1/25,226,132,54,68,100.7,111.5,65.7,109.3,107.9,65.6,8.6,-3.6,-0.1
2/1/25,87,136,67,73,98.3,105.6,68.9,105.1,105.2,71,6.8,-0.4,2.1
2/1/25,13,138,89,79,110.9,97.1,68.5,125.3,101,70.4,14.4,3.9,1.9
2/1/25,98,139,67,73,106.8,103.1,67.9,103.5,106,70,-3.3,2.9,2.1
2/1/25,79,145,76,70,94.8,111.1,65.9,94,110.8,68.9,-0.8,-0.3,3
2/1/25,21,146,80,87,101.7,123.1,65.3,110.2,101.9,65.6,8.5,-21.2,0.3
2/1/25,297,147,57,75,102.2,112.5,66.7,97.5,101.2,66.8,-4.7,-11.3,0.1
2/1/25,271,151,62,58,105.2,103.5,63.2,99.8,113.3,66.6,-5.4,9.8,3.4
2/1/25,259,153,61,66,111.2,112.1,67.5,111,106.7,64.2,-0.2,-5.4,-3.3
2/1/25,255,155,55,58,110.2,100.8,68.7,106.7,105.1,66.6,-3.5,4.3,-2.1
2/1/25,27,157,67,69,98.6,109.8,61.8,100.4,114.1,66.4,1.8,4.3,4.6
2/1/25,300,158,89,58,116.2,98,66.3,111.1,98.5,68.4,-5.1,0.5,2.1
2/1/25,59,162,77,69,122.1,104.3,63.7,118.9,93.9,67.8,-3.2,-10.4,4.1
2/1/25,54,163,62,67,100.6,114.5,62.6,105.8,107.2,68.1,5.2,-7.3,5.5
2/1/25,220,172,57,63,116.8,106.2,64.1,114.8,118.1,67,-2,11.9,2.9
2/1/25,222,173,69,73,107.6,108.7,70.2,108.7,108.9,68.5,1.1,0.2,-1.7
2/1/25,334,176,68,71,105.6,104.5,68.1,108,104.2,68,2.4,-0.3,-0.1
2/1/25,346,178,71,68,107.6,100.3,68.3,109.6,101.8,62,2,1.5,-6.3
2/1/25,17,179,92,82,129.7,93.5,67.6,116.1,93.2,67.6,-13.6,-0.3,0
2/1/25,182,180,88,61,119.1,99.5,67.3,119.9,98,66.9,0.8,-1.5,-0.4
2/1/25,190,183,56,77,109.1,106.9,64.5,102.4,110.2,63.1,-6.7,3.3,-1.4
2/1/25,67,184,83,92,108.4,115.1,70.2,101.4,111.5,67.1,-7,-3.6,-3.1
2/1/25,252,185,59,87,94.7,111.4,64.8,106.9,111.6,67.7,12.2,0.2,2.9
2/1/25,236,186,73,74,102.9,107.3,68.5,105.5,107.3,66.1,2.6,0,-2.4
2/1/25,165,188,63,76,97.4,118.7,66.7,103.2,118.8,70.4,5.8,0.1,3.7
2/1/25,52,191,68,58,118.8,97.9,63.5,109.9,102.9,64,-8.9,5,0.5
2/1/25,32,192,85,75,98.8,107.1,67.3,103,110.5,66.6,4.2,3.4,-0.7
2/1/25,69,194,69,78,98.7,115.5,65.8,107.7,111.3,67.2,9,-4.2,1.4
2/1/25,325,195,65,71,111.1,104.4,64.9,112.7,103.3,62.5,1.6,-1.1,-2.4
2/1/25,167,201,63,71,113.9,100,65.2,105.1,107.9,68.4,-8.8,7.9,3.2
2/1/25,31,202,92,70,108.1,106.5,72.7,91.9,109.4,64.8,-16.2,2.9,-7.9
2/1/25,273,203,65,67,102.1,108.4,68.3,108.5,108.1,66.1,6.4,-0.3,-2.2
2/1/25,43,204,65,94,97.2,113.6,66.5,109.8,107.6,66.7,12.6,-6,0.2
2/1/25,275,208,75,80,110.1,104.4,68.7,107.7,117.5,68.9,-2.4,13.1,0.2
2/1/25,335,211,54,50,108.5,113.5,69.9,112,97.3,60.6,3.5,-16.2,-9.3
2/1/25,213,214,69,87,104.2,110.6,66.8,110.1,109.4,68.7,5.9,-1.2,1.9
2/1/25,358,218,75,69,122.8,98.2,67.7,112.7,98,64.5,-10.1,-0.2,-3.2
2/1/25,217,221,84,75,97.6,106.6,64.5,106.7,107.4,61.3,9.1,0.8,-3.2
2/1/25,337,224,67,97,116.6,100.2,69.8,118.6,101.4,67,2,1.2,-2.8
2/1/25,330,225,72,81,110.6,101.1,69.2,106,102.7,70.2,-4.6,1.6,1
2/1/25,134,227,67,73,101,106.6,64.5,105,120.2,67.8,4,13.6,3.3
2/1/25,363,231,90,61,114.8,103.4,67.5,104.5,114.3,65.9,-10.3,10.9,-1.6
2/1/25,235,233,84,64,101.7,115.9,68.2,103.8,107,69.3,2.1,-8.9,1.1
2/1/25,111,238,84,72,117.1,110.6,65.8,104.5,113.1,63.5,-12.6,2.5,-2.3
2/1/25,30,239,49,69,107,111.1,64.8,109.6,107.6,66.5,2.6,-3.5,1.7
2/1/25,349,243,68,87,98.4,114.3,67.5,105.1,109.1,69.2,6.7,-5.2,1.7
2/1/25,327,245,69,79,98.8,116.4,71.9,109.6,110.7,63.1,10.8,-5.7,-8.8
2/1/25,174,251,66,63,120.1,96.9,69.9,114.7,103.3,68.8,-5.4,6.4,-1.1
2/1/25,104,257,58,62,125.3,99.3,70.2,117.9,95.6,62,-7.4,-3.7,-8.2
2/1/25,156,261,78,62,104.6,102.5,66.8,98.6,108.7,70.4,-6,6.2,3.6
2/1/25,361,262,61,63,104.1,105.3,63.9,109.8,92.7,66,5.7,-12.6,2.1
2/1/25,347,263,51,75,111.5,104.9,69.9,112.1,101.6,66.9,0.6,-3.3,-3
2/1/25,2,264,64,75,100.5,111.6,63.4,108.9,108.7,65.2,8.4,-2.9,1.8
2/1/25,230,265,49,83,101.5,112.3,66.2,115.2,103,68,13.7,-9.3,1.8
2/1/25,287,270,61,85,114.9,103.8,66.3,116.3,101.2,69.3,1.4,-2.6,3
2/1/25,301,272,76,72,116.8,92.3,66.3,108.2,97.6,65,-8.6,5.3,-1.3
2/1/25,298,277,87,89,100.4,110.2,71.3,101,108.1,68.4,0.6,-2.1,-2.9
2/1/25,199,278,68,76,98,115.6,69.4,102.2,105.5,67.1,4.2,-10.1,-2.3
2/1/25,8,279,69,74,97.5,112.9,64.4,98.6,102.8,68.2,1.1,-10.1,3.8
2/1/25,72,280,75,65,111.4,99.5,59,104.7,106.5,68.2,-6.7,7,9.2
2/1/25,299,281,78,65,102.3,113.2,67.6,99.7,113.4,66.4,-2.6,0.2,-1.2
2/1/25,101,282,68,72,101.1,109.3,70.2,99.9,108.1,70,-1.2,-1.2,-0.2
2/1/25,93,284,72,74,104.4,108,69.9,110.9,101.6,63.4,6.5,-6.4,-6.5
2/1/25,240,285,66,68,112.7,103.3,65.4,113.8,89,69.7,1.1,-14.3,4.3
2/1/25,141,288,67,62,101.4,105.1,65.4,93.5,102.2,65.7,-7.9,-2.9,0.3
2/1/25,44,290,71,63,100.7,103,64.4,101.1,113.2,64.5,0.4,10.2,0.1
2/1/25,283,293,58,75,101.6,108.7,68.3,94.9,104.6,65.1,-6.7,-4.1,-3.2
2/1/25,76,295,94,98,106.5,105.5,65.9,109.6,106.8,69.4,3.1,1.3,3.5
2/1/25,88,296,44,64,125.5,94.5,69,117,87.6,63.6,-8.5,-6.9,-5.4
2/1/25,237,303,63,79,99.2,115.6,71.6,97.2,107.6,70.3,-2,-8,-1.3
2/1/25,15,304,85,74,109.7,101,69,109.5,110.4,65.6,-0.2,9.4,-3.4
2/1/25,260,306,83,58,113.1,106.9,69.5,94.3,115,64.3,-18.8,8.1,-5.2
2/1/25,215,307,85,89,94.5,112.9,69.1,111.9,114.5,68.9,17.4,1.6,-0.2
2/1/25,73,308,54,55,103.3,106.2,62.9,104.9,104.9,62.7,1.6,-1.3,-0.2
2/1/25,152,309,50,87,96.3,111.5,67.6,107.4,102.9,65.4,11.1,-8.6,-2.2
2/1/25,48,312,78,96,104.1,110.3,64.7,115.3,110.7,69.2,11.2,0.4,4.5
2/1/25,313,314,66,73,97,102,67.5,106,92.3,69.3,9,-9.7,1.8
2/1/25,37,315,62,80,106.1,112.5,73.7,107.8,107.1,66.8,1.7,-5.4,-6.9
2/1/25,149,317,54,85,103.3,115.2,63.7,107.9,107.5,64.2,4.6,-7.7,0.5
2/1/25,35,318,81,75,120.6,101.2,66.2,116.2,102.2,70.9,-4.4,1,4.7
2/1/25,320,321,83,67,110.5,114.5,69.5,108.5,115,70.7,-2,0.5,1.2
2/1/25,359,323,74,62,112.1,110.6,63.2,108.4,105.1,63.2,-3.7,-5.5,0
2/1/25,291,324,70,80,100.9,116.8,64.1,111.6,106.8,65.5,10.7,-10,1.4
2/1/25,175,326,64,70,119.4,94.4,68.2,114.7,102.4,67.7,-4.7,8,-0.5
2/1/25,332,328,71,73,101,112.4,66.8,108.5,110.8,67.7,7.5,-1.6,0.9
2/1/25,302,329,73,83,107.4,106.8,68.8,105.7,112.3,68.2,-1.7,5.5,-0.6
2/1/25,197,331,82,63,112.3,97.4,72.7,118.4,101.4,68.5,6.1,4,-4.2
2/1/25,248,338,49,90,102,106.7,64.6,112.2,95,66.9,10.2,-11.7,2.3
2/1/25,159,339,49,55,101.9,103.4,66.5,96.8,105.9,62.8,-5.1,2.5,-3.7
2/1/25,62,340,62,60,116.3,96.9,67.8,121.4,107.1,63.1,5.1,10.2,-4.7
2/1/25,342,341,75,74,107.8,107,64.4,106.1,102.7,60.4,-1.7,-4.3,-4
2/1/25,142,344,61,73,99,118,68.5,93.8,111.3,60.8,-5.2,-6.7,-7.7
2/1/25,234,345,74,76,119.2,100.2,66.7,106.2,95.4,66.4,-13,-4.8,-0.3
2/1/25,82,348,72,49,102.9,112.1,67,105.6,114.9,64.9,2.7,2.8,-2.1
2/1/25,343,351,80,76,101.8,112.1,67.2,92.7,111.9,70.9,-9.1,-0.2,3.7
2/1/25,269,352,69,65,99.5,107.1,65.2,96.6,117.4,62.3,-2.9,10.3,-2.9
2/1/25,198,353,69,101,104,102.3,65.4,102.5,99.8,72.9,-1.5,-2.5,7.5
2/1/25,81,354,54,61,103.8,115.2,67.9,101.6,113.7,67.4,-2.2,-1.5,-0.5
2/1/25,96,357,93,96,104.2,109.9,69.2,106.9,109.8,71.9,2.7,-0.1,2.7
2/1/25,128,364,84,79,105.3,120.5,65,99.5,103.7,69.3,-5.8,-16.8,4.3
2/2/25,84,22,80,75,97.6,105.6,66.3,113.8,110.6,70.9,16.2,5,4.6
2/2/25,350,51,63,50,110.4,95.5,63.8,108.3,93.9,64.8,-2.1,-1.6,1
2/2/25,267,70,57,74,102.8,103.6,63.8,109.7,106.5,67,6.9,2.9,3.2
2/2/25,95,77,69,72,107.6,106.7,65.1,108.6,106,65.5,1,-0.7,0.4
2/2/25,276,90,72,94,105.5,107.1,67.7,113.2,108.5,69.4,7.7,1.4,1.7
2/2/25,223,119,79,87,117.1,95.1,67,118.1,93.3,72.4,1,-1.8,5.4
2/2/25,85,125,64,87,101.4,117.4,65.5,96.4,106.6,69.1,-5,-10.8,3.6
2/2/25,242,177,81,79,113,111.4,68.5,108.1,104.7,68.8,-4.9,-6.7,0.3
2/2/25,29,216,69,83,110.6,102.2,65.6,110.8,106.2,64.4,0.2,4,-1.2
2/2/25,193,228,77,71,111.9,96.7,67.4,116.6,98.4,68,4.7,1.7,0.6
2/2/25,168,247,86,83,113.5,96,70.2,104.6,107.1,64.9,-8.9,11.1,-5.3
2/2/25,171,249,66,64,100.7,102,64.2,99.9,113.7,64.4,-0.8,11.7,0.2
2/2/25,160,253,72,74,107.1,115.4,67.5,105.2,114.9,69.3,-1.9,-0.5,1.8
2/2/25,189,258,79,64,98.3,107.6,67.8,95.1,103.6,62.4,-3.2,-4,-5.4
2/2/25,244,268,75,84,102.3,103.6,70.3,102,109.5,65.3,-0.3,5.9,-5
2/2/25,209,286,62,79,116.2,111.6,64.7,114.3,110.7,68,-1.9,-0.9,3.3
2/2/25,56,294,57,68,108.3,101.9,67.6,106.4,97,66,-1.9,-4.9,-1.6
2/2/25,311,310,56,59,101.4,110.8,66.1,107.1,105.6,66.7,5.7,-5.2,0.6
2/2/25,250,360,64,66,104.5,106.3,68.6,109.8,111.5,67.5,5.3,5.2,-1.1
2/3/25,5,23,75,89,94.1,114.9,71.5,95.2,104.1,68.7,1.1,-10.8,-2.8
2/3/25,188,68,82,84,102.6,118,70.4,99.9,111.5,69.3,-2.7,-6.5,-1.1
2/3/25,302,78,78,66,106.2,106.7,69.1,95.4,110.9,67.5,-10.8,4.2,-1.6
2/3/25,6,89,67,66,102.6,113.5,67.8,97.9,113.8,68,-4.7,0.3,0.2
2/3/25,8,105,60,53,97.5,112.2,64.8,96.4,112.2,64.4,-1.1,0,-0.4
2/3/25,273,116,89,66,101.2,106.9,68.1,108.1,119.3,68.2,6.9,12.4,0.1
2/3/25,214,118,86,72,110.3,108.9,68.7,105,109.2,65,-5.3,0.3,-3.7
2/3/25,127,133,52,69,119.7,92.3,69.1,117,90.9,68.7,-2.7,-1.4,-0.4
2/3/25,55,143,68,94,104.5,111,66.4,99.8,110.5,66.9,-4.7,-0.5,0.5
2/3/25,60,165,62,57,86.8,112.8,68.1,96.5,118.3,66.5,9.7,5.5,-1.6
2/3/25,122,167,65,67,106,115.4,65.1,112.8,100.3,65.1,6.8,-15.1,0
2/3/25,288,199,88,85,92.9,102.1,65.9,97.7,114.9,69.6,4.8,12.8,3.7
2/3/25,115,201,67,75,102.2,111.1,65.5,105.4,107.1,68.3,3.2,-4,2.8
2/3/25,207,203,78,81,102.7,114.7,66.2,107.2,107.3,66,4.5,-7.4,-0.2
2/3/25,329,219,63,79,105.6,111.2,68.5,100.1,109.6,63.5,-5.5,-1.6,-5
2/3/25,341,234,73,57,106.9,104.2,60.5,119.3,100.8,66.6,12.4,-3.4,6.1
2/3/25,141,278,79,81,101.7,104.8,65.6,101.5,105.1,67.4,-0.2,0.3,1.8
2/3/25,129,279,89,91,97.5,106.5,68.8,98.4,102.7,68.6,0.9,-3.8,-0.2
2/3/25,211,312,61,64,109.6,96.6,60.3,116.1,111.2,69.2,6.5,14.6,8.9
2/3/25,213,348,73,77,103.7,111,66.8,102.7,114,65.4,-1,3,-1.4
2/3/25,46,356,75,90,107.9,105.2,71.2,109.2,113,71.6,1.3,7.8,0.4
2/4/25,195,2,74,60,112.2,102.8,62.9,100.2,111.4,63.6,-12,8.6,0.7
2/4/25,19,3,73,81,104.9,114,66.6,111.5,104,71.7,6.6,-10,5.1
2/4/25,135,12,71,70,112.6,100.4,66.8,110.7,96.9,67.7,-1.9,-3.5,0.9
2/4/25,303,14,68,69,97.9,107.3,69.7,97.3,124,72.3,-0.6,16.7,2.6
2/4/25,224,17,70,98,119.4,100.3,67.2,130.4,94,67.8,11,-6.3,0.6
2/4/25,215,28,77,84,95,112.5,69.4,101.1,113.8,68.8,6.1,1.3,-0.6
2/4/25,11,35,85,74,120.2,95.2,69.6,119.8,99.9,66.6,-0.4,4.7,-3
2/4/25,173,45,76,70,108.1,108.2,68.5,102.9,106.5,66.6,-5.2,-1.7,-1.9
2/4/25,355,48,66,58,107.8,106.4,69,104.2,111.1,64.6,-3.6,4.7,-4.4
2/4/25,103,52,89,86,107.1,101.7,69.5,118.4,97.2,63.6,11.3,-4.5,-5.9
2/4/25,65,66,63,69,112.5,109,65.6,116.3,105,65,3.8,-4,-0.6
2/4/25,137,81,70,49,101.4,99.7,64.9,102.3,114.1,67.6,0.9,14.4,2.7
2/4/25,337,88,75,86,115.5,100.6,70.1,123.5,93.3,68.9,8,-7.3,-1.2
2/4/25,220,92,60,67,115.3,105.5,63.8,110.1,100.5,69.8,-5.2,-5,6
2/4/25,264,94,94,91,108.8,108.7,65.3,100,108.1,71.8,-8.8,-0.6,6.5
2/4/25,225,114,63,72,107.1,102.7,69.9,123.1,87.4,61.1,16,-15.3,-8.8
2/4/25,241,126,90,81,122.8,96,64.9,118,105.6,70.9,-4.8,9.6,6
2/4/25,284,155,53,77,110.9,102.1,63.2,105.7,103.8,66.5,-5.2,1.7,3.3
2/4/25,256,166,73,71,108.2,103.5,67.5,103.9,104.8,71.3,-4.3,1.3,3.8
2/4/25,138,179,84,98,124.7,102.1,70.5,116.5,93.8,67.7,-8.2,-8.3,-2.8
2/4/25,72,190,55,45,112,99.5,59.1,107.3,106.9,65,-4.7,7.4,5.9
2/4/25,326,218,75,77,114.5,101.3,67.7,112.8,98.3,64.3,-1.7,-3,-3.4
2/4/25,354,222,69,94,100.4,112.1,67.2,106.7,107.7,70.3,6.3,-4.4,3.1
2/4/25,178,232,69,61,109.3,102.2,62.1,115.6,100.8,70,6.3,-1.4,7.9
2/4/25,79,269,41,66,95.1,110.7,66,99.6,107.1,65.3,4.5,-3.6,-0.7
2/4/25,162,285,64,70,118.1,94.3,67.9,112.8,88.5,69.8,-5.3,-5.8,1.9
2/4/25,20,305,59,73,122.2,100.3,64.7,122.9,96.5,65,0.7,-3.8,0.3
2/4/25,33,307,74,87,97.3,114.1,71.2,111.7,114.9,69.2,14.4,0.8,-2
2/4/25,175,319,61,63,118.1,94,68.2,115.7,94.4,64.8,-2.4,0.4,-3.4
2/4/25,25,325,71,62,116.2,101.4,66,110.3,104,65.3,-5.9,2.6,-0.7
2/4/25,139,338,66,96,104.1,106.2,69.6,113.1,94.8,66.7,9,-11.4,-2.9
2/4/25,123,358,64,76,114.4,100.2,68.6,123.2,98.4,67.5,8.8,-1.8,-1.1
2/4/25,331,361,71,67,117.1,101.7,68.5,104.4,104.6,63.9,-12.7,2.9,-4.6
2/4/25,99,362,69,74,106.3,96.6,67.4,114,98.5,67.9,7.7,1.9,0.5
2/5/25,282,10,58,60,99.2,107.5,70.1,103.3,101,64.1,4.1,-6.5,-6
2/5/25,113,16,65,68,102.5,115.6,65.4,101.8,112.6,67.4,-0.7,-3,2
2/5/25,204,18,74,64,110.6,107.5,66.5,98,108.7,65.7,-12.6,1.2,-0.8
2/5/25,154,26,84,58,118.2,97.5,68.1,107.4,110.1,66,-10.8,12.6,-2.1
2/5/25,192,27,65,87,102.9,111.1,66.8,98,109.7,62.2,-4.9,-1.4,-4.6
2/5/25,22,29,80,77,113.9,111.7,70.7,110.3,102.9,65.9,-3.6,-8.8,-4.8
2/5/25,9,32,49,71,105.1,111,63.2,99.1,107,67.4,-6,-4,4.2
2/5/25,191,40,62,74,109.3,102.6,64.1,111.4,108.3,67.2,2.1,5.7,3.1
2/5/25,243,43,63,47,105.2,108.8,69.2,97.2,114.4,66.4,-8,5.6,-2.8
2/5/25,357,47,83,65,107.3,110.2,72,100.3,109.8,68.1,-7,-0.4,-3.9
2/5/25,271,54,84,59,104.4,102.4,63.1,100.6,114.1,62.5,-3.8,11.7,-0.6
2/5/25,340,70,59,49,120,105.9,63.3,109.9,106,67,-10.1,0.1,3.7
2/5/25,247,76,73,60,105.7,107.5,65.1,107.1,106.1,66,1.4,-1.4,0.9
2/5/25,280,84,68,59,104.8,106.8,68.3,98.5,105.6,66.1,-6.3,-1.2,-2.2
2/5/25,246,93,79,80,107.2,103.3,70.6,105.5,108.6,69.6,-1.7,5.3,-1
2/5/25,351,95,75,84,92.5,111.8,70.6,108,107,65,15.5,-4.8,-5.6
2/5/25,97,98,53,50,105.9,94.6,64.2,107,103.8,67.5,1.1,9.2,3.3
2/5/25,158,100,62,81,110.1,99.5,68.3,112.1,94.8,66.3,2,-4.7,-2
2/5/25,151,101,82,83,98.9,112.3,66.5,100.6,108.6,70.3,1.7,-3.7,3.8
2/5/25,152,102,64,97,95.9,112.2,67.5,103.9,114.7,69,8,2.5,1.5
2/5/25,121,120,81,79,112.5,110.6,64.3,111.1,107.7,69.1,-1.4,-2.9,4.8
2/5/25,336,124,62,80,106.4,111.2,68.4,106.7,111.3,72.7,0.3,0.1,4.3
2/5/25,177,128,84,80,107.8,104.6,68.9,106.6,120.7,64.9,-1.2,16.1,-4
2/5/25,309,132,61,64,107.8,102.4,65.2,109,107.4,65.5,1.2,5,0.3
2/5/25,157,140,71,58,100,113.3,66.8,99,109.4,65.7,-1,-3.9,-1.1
2/5/25,15,163,72,77,110.1,100.8,69.1,105.6,107.2,67.9,-4.5,6.4,-1.2
2/5/25,311,168,71,83,100.8,109.6,66,114.1,96.8,70.4,13.3,-12.8,4.4
2/5/25,228,174,76,80,116.2,98.8,68,119,95.4,69.7,2.8,-3.4,1.7
2/5/25,216,183,66,61,111.4,106.1,64.7,102.6,108.6,63.5,-8.8,2.5,-1.2
2/5/25,57,197,65,87,111.1,100.1,66.2,112.6,96.1,72.7,1.5,-4,6.5
2/5/25,53,217,75,85,105.1,103.1,65.3,98.7,106.5,65.1,-6.4,3.4,-0.2
2/5/25,304,226,64,75,109.8,111,65.7,100.1,111.2,65.6,-9.7,0.2,-0.1
2/5/25,327,238,64,75,98.9,116.3,71.6,104.6,113.4,63.5,5.7,-2.9,-8.1
2/5/25,62,240,80,69,115.2,95.8,68,112.7,102.7,65.5,-2.5,6.9,-2.5
2/5/25,360,242,64,87,109.4,111.1,67.3,113.1,111.1,68.7,3.7,0,1.4
2/5/25,111,245,78,75,117.7,110.8,65.7,109.4,110.6,62.9,-8.3,-0.2,-2.8
2/5/25,75,248,68,73,104.3,103.3,64.3,101.7,107.6,64.5,-2.6,4.3,0.2
2/5/25,71,250,56,71,94.5,109.2,66.2,104.2,105.7,68.4,9.7,-3.5,2.2
2/5/25,119,251,73,82,118.6,93.8,72.4,113.7,102.5,68.7,-4.9,8.7,-3.7
2/5/25,169,260,79,100,103,107.8,71.3,113.2,106.3,69.5,10.2,-1.5,-1.8
2/5/25,34,267,84,54,114.5,104.6,66.6,102.1,103.7,63.9,-12.4,-0.9,-2.7
2/5/25,345,287,79,73,106.7,95.9,66.4,113.8,103.9,66.4,7.1,8,0
2/5/25,74,292,83,54,124,88.3,65.3,109.4,105.1,68.9,-14.6,16.8,3.6
2/5/25,350,294,60,65,110.6,94.3,63.9,106.6,96.8,65.7,-4,2.5,1.8
2/5/25,182,296,81,85,120.7,98,67.2,116.2,85.4,63.5,-4.5,-12.6,-3.7
2/5/25,13,300,78,70,112,96.5,68.5,117.5,96.6,66.3,5.5,0.1,-2.2
2/5/25,323,306,76,61,107.5,105.3,63.4,93.7,115,64.3,-13.8,9.7,0.9
2/5/25,51,318,93,83,107.4,94.3,64.8,115.4,101.8,71.2,8,7.5,6.4
2/5/25,56,330,59,72,108.1,102.1,67.4,110.9,101.9,68.9,2.8,-0.2,1.5
2/5/25,310,335,61,60,105.9,104.7,66.6,108.2,111.4,69.7,2.3,6.7,3.1
2/5/25,270,342,81,75,116.4,100.2,69.4,108.7,107.8,64.6,-7.7,7.6,-4.8
2/5/25,77,343,62,55,109,106.4,65.5,101.8,111.8,67,-7.2,5.4,1.5
2/5/25,193,346,86,72,112.4,96.4,67.4,108.2,100.1,68.4,-4.2,3.7,1
2/5/25,146,349,76,67,109.9,102.4,65.8,98.2,114.7,67.6,-11.7,12.3,1.8
2/5/25,49,359,79,70,111.7,109.3,67.1,112.3,109.6,63.4,0.6,0.3,-3.7
2/6/25,320,24,54,66,110.3,113.4,69.2,100.9,114.6,65,-9.4,1.2,-4.2
2/6/25,7,31,68,63,102.1,111.5,67.9,108.7,106.7,72.8,6.6,-4.8,4.9
2/6/25,283,36,60,57,100.8,109.2,68.3,109.4,108.3,65.2,8.6,-0.9,-3.1
2/6/25,110,37,63,79,105.3,106.8,65.6,105.7,112.8,73.2,0.4,6,7.6
